(base) heloysapelizon@Heloysas-MacBook-Pro-4 cnn_paralell % Processes: 501 total, 2 running, 499 sleeping, 2159 threads 
2026/09/13 13:21:01
Load Avg: 1.56, 1.67, 1.80 
CPU usage: 0.90% user, 9.9% sys, 90.0% idle 
SharedLibs: 897M resident, 162M data, 144M linkedit.
MemRegions: 63406 total, 1641M resident, 354M private, 889M shared.
PhysMem: 11G used (1909M wired, 546M compressor), 4697M unused.
VM: 203T vsize, 6144M framework vsize, 254512(0) swapins, 443435(0) swapouts.
Networks: packets: 5218738/5636M in, 4318179/824M out.
Disks: 6473765/122G read, 2981467/52G written.

PID    COMMAND          %CPU TIME     #TH #WQ #PORTS MEM   PURG  CMPRS PGRP  PPID  STATE    BOOSTS %CPU_ME %CPU_OTHRS UID FAULTS COW MSGSENT MSGRECV SYSBSD SYSMACH CSW   PAGEINS IDLEW POWER INSTRS CYCLES JETPRI USER           #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
30945  top              0.0  00:00.12 1/1 0   16     3536K 0B    0B    30945 29300 running  *0[1]  0.00000 0.00000    0   1040   88  162085  81042   2702   84767   12    1       0     0.0   0      0      180    root           N/A    N/A   N/A   N/A   N/A   N/A  
30936  QuickLookUIServi 0.0  00:00.03 3   1   156    4257K 0B    0B    30936 1     sleeping  0[9]  0.00000 0.00000    501 1913   151 643     197     2594   1556    550   2       0     0.0   0      0      0      heloysapelizon N/A    N/A   N/A   N/A   N/A   N/A  
30935  DocumentPopoverV 0.0  00:00.72 3   1   287    22M   16K   0B    30935 1     sleeping  0[5]  0.00000 0.00000    501 7679   527 14968   7004    46105  18588   4802  63      2     0.0   0      0      0      heloysapelizon N/A    N/A   N/A   N/A   N/A   N/A  
30934  QuickLookUIServi 0.0  00:00.03 3   1   156    4257K 0B    0B    30934 1     sleeping  0[10] 0.00000 0.00000    501 1921   151 649     202     2380   1598    594   2       0     0.0   0      0      0      heloysapelizon N/A    N/A   N/A   N/A   N/A   N/A  
30933  naturallanguaged 0.0  00:00.61 4   2   91     7537K 0B    0B    30933 1     sleeping *0[7]  0.00000 0.00000    501 3358   143 566     262     13003  897     989   494     0     0.0   0      0      0      heloysapelizon N/A    N/A   N/A   N/A   N/A   N/A  
30932  MTLCompilerServi 0.0  00:00.04 2   1   37     12M   0B    0B    30932 1     sleeping *0[22] 0.00000 0.00000    501 1446   117 183     82      1231   357     123   2       0     0.0   0      0      0      heloysapelizon N/A    N/A   N/A   N/A   N/A   N/A  
30931  MTLCompilerServi 0.0  00:00.06 2   1   37     14M   0B    0B    30931 1     sleeping *0[34] 0.00000 0.00000    501 1578   117 203     98      1313   397     127   4       0     0.0   0      0      0      heloysapelizon N/A    N/A   N/A   N/A   N/A   N/A  
30930  com.apple.appkit 0.0  00:00.84 3   1   259    20M   0B    0B    30930 1     sleeping  0[21] 0.00000 0.00000    501 8615   352 11428   5257    56151  11964   5632  41      0     0.0   0      0      0      heloysapelizon N/A    N/A   N/A   N/A   N/A   N/A  
30928  SpeechSynthesisS 0.0  00:00.00 2   1   28     1840K 0B    0B    30928 1     sleeping *0[1]  0.00000 0.00000    501 662    98  152     61      448    279     58    3       0     0.0   0      0      0      heloysapelizon N/A    N/A   N/A   N/A   N/A   N/A  
30927  TextEdit         0.0  00:02.36 5   3   412    54M   3040K 0B    30927 1     sleeping  0[8]  0.00000 0.00000    501 20649  367 42384   9817    47115  85480   22684 192     17    0.0   0      0      100    heloysapelizon N/A    N/A   N/A   N/A   N/A   N/A  

